name,city,address,province,postal_code,latitude,longitude,is_active,notes
Riverbend Registry,Edmonton,"532 Riverbend Square NW, Edmonton, AB T6R 2E3, Canada",AB,T6R 2E3,53.468162299999996,-113.5869987,TRUE,
Strathcona Registry,Edmonton,"10375 78 Ave NW, Edmonton, AB T6E 6T3, Canada",AB,T6E 6T3,53.513856999999994,-113.4971907,TRUE,
Summerside Registry,Edmonton,"625 Parsons Rd SW #125, Edmonton, AB T6X 0N9, Canada",AB,T6X 0N9,53.4275473,-113.4791553,TRUE,
West-End Registries,Edmonton,"10011 170 St NW, Edmonton, AB T5P 4R5, Canada",AB,T5P 4R5,53.539935199999995,-113.6142677,TRUE,
Windermere Registry,Edmonton,"3489 Allan Dr SW, Edmonton, AB T6W 3G9, Canada",AB,T6W 3G9,53.4291686,-113.5898656,TRUE,
AMA Member & Registry Services,Fort McMurray,"4 Hospital St, Fort McMurray, AB T9H 5E4, Canada",AB,T9H 5E4,56.7205386,-111.3593775,TRUE,
Fort McMurray Vehicle Licensing & Registry,Fort McMurray,"8720 Franklin Ave #121, Fort McMurray, AB T9H 3K8, Canada",AB,T9H 3K8,56.7216179,-111.3640432,TRUE,
Timberlea Licensing and Registry,Fort McMurray,"118 Millennium Dr #141, Fort McMurray, AB T9K 0J1, Canada",AB,T9K 0J1,56.7560053,-111.4633493,TRUE,
Farnese Registry,Fort Saskatchewan,"101-117 Town Crest Rd, Fort Saskatchewan, AB T8L 0G8, Canada",AB,T8L 0G8,53.6818846,-113.2391866,TRUE,
A-1 Licence & Registry,Grande Prairie,"8716 108 St #106, Grande Prairie, AB T8V 4C7, Canada",AB,T8V 4C7,55.1589405,-118.8214554,TRUE,
AMA Member & Registry Services,Grande Prairie,"11401 99 St, Grande Prairie, AB T8V 2H6, Canada",AB,T8V 2H6,55.1835532,-118.7906104,TRUE,
The Licence Centre,Grande Prairie,"9917 116 Ave, Grande Prairie, AB T8V 3Y3, Canada",AB,T8V 3Y3,55.1849097,-118.7929826,TRUE,
Rangeland Agencies 78 Ltd.,High River,"611 5 St S E #102, High River, AB T1V 0G6, Canada",AB,T1V 0G6,50.5772256,-113.8595467,TRUE,
Leduc Registries,Leduc,"5205 50th Ave #5, Leduc, AB T9E 6T2, Canada",AB,T9E 6T2,53.263822999999995,-113.559762,TRUE,
AMA Insurance,Lethbridge,"120 Scenic Dr S, Lethbridge, AB T1J 4R4, Canada",AB,T1J 4R4,49.6972569,-112.8459475,TRUE,
AMA Member & Registry Services,Lethbridge,"120 Scenic Dr S, Lethbridge, AB T1J 4R4, Canada",AB,T1J 4R4,49.697249299999996,-112.8459253,TRUE,
AMA Travel,Lethbridge,"120 Scenic Dr S, Lethbridge, AB T1J 4R4, Canada",AB,T1J 4R4,49.697243799999995,-112.8459303,TRUE,
Astro Insurance & Registry,Lethbridge,"542 7 St S #100, Lethbridge, AB T1J 2H1, Canada",AB,T1J 2H1,49.691400699999996,-112.8371348,TRUE,
Chaparral Registry & Insurance,Lethbridge,"550 University Dr W #8, Lethbridge, AB T1J 4T3, Canada",AB,T1J 4T3,49.6925263,-112.8933555,TRUE,
Lethbridge Vehicle Licensing & Registry,Lethbridge,"2045 Mayor Magrath Dr S, Lethbridge, AB T1K 2S2, Canada",AB,T1K 2S2,49.671931799999996,-112.7971884,TRUE,
McKillop Insurance & Registry Services Inc,Lethbridge,"425 21a St N, Lethbridge, AB T1H 6L6, Canada",AB,T1H 6L6,49.7048748,-112.8103238,TRUE,
Schwartz Reliance Insurance & Registry Services,Lethbridge,"300 10 St S, Lethbridge, AB T1J 0J4, Canada",AB,T1J 0J4,49.6958829,-112.8326695,TRUE,
AMA Member & Registry Services,Medicine Hat,"2710 13 Ave SE, Medicine Hat, AB T1A 3P8, Canada",AB,T1A 3P8,50.0138481,-110.664874,TRUE,
Licence Bureau On Kingsway,Medicine Hat,"672 Kingsway Ave SE, Medicine Hat, AB T1A 2X1, Canada",AB,T1A 2X1,50.032392699999996,-110.6695623,TRUE,
Medicine Hat Licence Centre,Medicine Hat,"2805 13 Ave SE, Medicine Hat, AB T1A 3R1, Canada",AB,T1A 3R1,50.0122315,-110.6638006,TRUE,
Medicine Hat Registries,Medicine Hat,"2805 13 Ave SE, Medicine Hat, AB T1A 3R1, Canada",AB,T1A 3R1,50.01236720000001,-110.6637396,TRUE,
The Licence Place Ltd.,Medicine Hat,"177 12 St NE, Medicine Hat, AB T1A 5T6, Canada",AB,T1A 5T6,50.053185899999995,-110.6825405,TRUE,
Ardiel Agencies,Okotoks,"11 McRae St, Okotoks, AB T1S 1A4, Canada",AB,T1S 1A4,50.725356000000005,-113.9740745,TRUE,
AMA Insurance,Red Deer,"2004 50 Ave #141, Red Deer, AB T4R 3A2, Canada",AB,T4R 3A2,52.23383,-113.81621,TRUE,
AMA Member & Registry Services,Red Deer,"2004 50 Ave #141, Red Deer, AB T4R 3A2, Canada",AB,T4R 3A2,52.2346765,-113.8197414,TRUE,
Mac Insurance & Registry (Red Deer) / Vital Registry,Red Deer,"5406 43 St, Red Deer, AB T4N 1C9, Canada",AB,T4N 1C9,52.2626765,-113.8238769,TRUE,
One Stop Licence Shop North,Red Deer,"5105 76A Street Close Unit 7, Red Deer, AB T4P 3M2, Canada",AB,T4P 3M2,52.3052425,-113.8158579,TRUE,
One Stop Licence Shop South,Red Deer,"3440 50 Ave Suite D, Red Deer, AB T4N 3Y4, Canada",AB,T4N 3Y4,52.255328399999996,-113.8148072,TRUE,
Red Deer Registries,Red Deer,"20 Sharpe Ave #7101, Red Deer, AB T4R 0V2, Canada",AB,T4R 0V2,52.2320022,-113.8003005,TRUE,
Vital Registry Services,Red Deer,"5315 54 St, Red Deer, AB T4N 2G9, Canada",AB,T4N 2G9,52.2725691,-113.8174226,TRUE,
AMA Member & Registry Services,Sherwood Park,"101 Bremner Dr #19, Sherwood Park, AB T8H 0M5, Canada",AB,T8H 0M5,53.542189,-113.307322,TRUE,
Registry on Wye,Sherwood Park,"450 Ordze Rd #440, Sherwood Park, AB T8B 0C5, Canada",AB,T8B 0C5,53.510126299999996,-113.3300072,TRUE,
Sherwood Park Registries,Sherwood Park,"52 Sioux Rd, Sherwood Park, AB T8A 4X1, Canada",AB,T8A 4X1,53.5345307,-113.3237468,TRUE,
Drayden Insurance and Registries,Spruce Grove,"228 McLeod Ave, Spruce Grove, AB T7X 3X2, Canada",AB,T7X 3X2,53.5423207,-113.903163,TRUE,
AMA Member & Registry Services,St. Albert,"665 St Albert Trl #200, St. Albert, AB T8N 3L3, Canada",AB,T8N 3L3,53.656845000000004,-113.62905,TRUE,
Drayden Insurance & Registries Ltd.,St. Albert,"60 Green Grove Dr #100, St. Albert, AB T8N 5H6, Canada",AB,T8N 5H6,53.628025,-113.6203725,TRUE,
Gold Key Registry Ltd.,Strathmore,"233 3 Ave, Strathmore, AB T1P 1N7, Canada",AB,T1P 1N7,51.0414755,-113.3968308,TRUE,
